iter	Passed	Remaining
0	2	2460
1	3	1517
2	3	1140
3	3	950
4	4	845
5	4	764
6	5	714
7	5	671
8	5	640
9	6	613
10	6	587
11	6	564
12	7	550
13	7	536
14	7	522
15	8	514
16	8	512
17	9	502
18	9	495
19	9	487
20	10	479
21	10	472
22	10	465
23	11	459
24	11	454
25	11	447
26	12	442
27	12	437
28	12	433
29	13	429
30	13	425
31	14	424
32	14	427
33	14	426
34	15	423
35	15	420
36	16	419
37	16	416
38	16	413
39	17	410
40	17	409
41	17	407
42	18	406
43	18	403
44	18	400
45	19	398
46	19	398
47	19	396
48	20	395
49	20	395
50	21	394
51	21	393
52	21	391
53	22	391
54	22	391
55	23	389
56	23	387
57	23	385
58	24	383
59	24	381
60	24	380
61	25	378
62	25	377
63	25	375
64	26	374
65	26	373
66	26	372
67	27	372
68	27	372
69	27	371
70	28	370
71	28	368
72	28	367
73	29	366
74	29	365
75	29	364
76	30	362
77	30	362
78	30	361
79	31	359
80	31	358
81	31	357
82	32	354
83	32	353
84	32	352
85	33	351
86	33	351
87	33	350
88	34	349
89	34	348
90	34	347
91	35	346
92	35	344
93	35	343
94	35	341
95	36	340
96	36	339
97	36	338
98	37	336
99	37	336
100	37	335
101	38	334
102	38	333
103	38	332
104	38	331
105	39	330
106	39	329
107	39	329
108	40	328
109	40	328
110	40	328
111	41	327
112	41	326
113	41	325
114	42	324
115	42	323
116	42	322
117	42	321
118	43	320
119	43	319
120	43	318
121	44	317
122	44	316
123	44	315
124	44	314
125	45	314
126	45	312
127	45	312
128	46	312
129	46	312
130	46	311
131	47	310
132	47	310
133	47	309
134	48	308
135	48	308
136	48	307
137	49	306
138	49	305
139	49	304
140	49	303
141	50	302
142	50	301
143	50	300
144	50	300
145	51	300
146	51	299
147	51	299
148	52	298
149	52	297
150	52	297
151	53	297
152	53	297
153	53	296
154	54	295
155	54	295
156	54	294
157	55	294
158	55	293
159	55	292
160	55	291
161	56	290
162	56	290
163	56	289
164	57	288
165	57	288
166	57	287
167	58	287
168	58	286
169	58	286
170	58	285
171	59	285
172	59	284
173	59	284
174	60	284
175	60	284
176	61	283
177	61	283
178	61	282
179	61	282
180	62	281
181	62	280
182	62	280
183	63	279
184	63	279
185	63	278
186	63	278
187	64	277
188	64	276
189	64	276
190	65	275
191	65	275
192	65	275
193	66	275
194	66	275
195	67	275
196	67	275
197	67	274
198	68	274
199	68	273
200	68	273
201	68	272
202	69	271
203	69	271
204	69	270
205	70	270
206	70	269
207	70	269
208	71	268
209	71	268
210	71	267
211	71	267
212	72	266
213	72	266
214	72	266
215	73	266
216	73	265
217	74	265
218	74	265
219	74	264
220	75	264
221	75	264
222	75	263
223	75	263
224	76	262
225	76	262
226	76	261
227	77	261
228	77	260
229	77	260
230	78	259
231	78	259
232	78	258
233	78	258
234	79	258
235	79	258
236	80	257
237	80	257
238	80	257
239	81	257
240	81	256
241	81	256
242	82	255
243	82	255
244	82	254
245	82	254
246	83	253
247	83	253
248	83	252
249	84	252
250	84	251
251	84	251
252	84	250
253	85	250
254	85	250
255	85	249
256	86	249
257	86	249
258	87	249
259	87	249
260	87	248
261	88	248
262	88	247
263	88	247
264	89	247
265	89	246
266	89	246
267	89	245
268	90	245
269	90	244
270	90	244
271	91	243
272	91	243
273	91	242
274	92	242
275	92	242
276	92	242
277	93	242
278	93	241
279	93	241
280	94	240
281	94	240
282	94	240
283	95	239
284	95	239
285	95	238
286	95	238
287	96	238
288	96	238
289	97	237
290	97	237
291	97	236
292	97	236
293	98	235
294	98	235
295	98	235
296	99	234
297	99	234
298	100	234
299	100	234
300	100	233
301	100	233
302	101	232
303	101	232
304	101	231
305	102	231
306	102	231
307	102	230
308	103	230
309	103	229
310	103	229
311	103	229
312	104	228
313	104	228
314	104	227
315	105	227
316	105	227
317	105	226
318	106	226
319	106	226
320	106	226
321	107	225
322	107	225
323	107	225
324	108	224
325	108	224
326	108	223
327	109	223
328	109	223
329	109	222
330	110	222
331	110	222
332	110	221
333	110	221
334	111	220
335	111	220
336	111	219
337	112	219
338	112	219
339	112	219
340	113	218
341	113	218
342	113	217
343	114	217
344	114	217
345	114	216
346	114	216
347	115	215
348	115	215
349	115	215
350	116	214
351	116	214
352	116	213
353	116	213
354	117	213
355	117	212
356	117	212
357	118	211
358	118	211
359	118	211
360	119	211
361	119	210
362	119	210
363	120	210
364	120	209
365	120	209
366	121	209
367	121	208
368	121	208
369	122	207
370	122	207
371	122	207
372	122	206
373	123	206
374	123	205
375	123	205
376	124	205
377	124	204
378	124	204
379	125	204
380	125	203
381	125	203
382	126	203
383	126	203
384	127	202
385	127	202
386	127	202
387	127	201
388	128	201
389	128	201
390	128	200
391	129	200
392	129	199
393	129	199
394	129	198
395	130	198
396	130	198
397	130	197
398	131	197
399	131	197
400	131	196
401	132	196
402	132	196
403	132	195
404	132	195
405	133	195
406	133	194
407	134	194
408	134	194
409	134	193
410	135	193
411	135	193
412	135	192
413	135	192
414	136	192
415	136	191
416	136	191
417	137	190
418	137	190
419	137	190
420	137	189
421	138	189
422	138	188
423	138	188
424	139	188
425	139	187
426	139	187
427	140	187
428	140	187
429	141	186
430	141	186
431	141	186
432	141	185
433	142	185
434	142	184
435	142	184
436	142	184
437	143	183
438	143	183
439	143	183
440	144	182
441	144	182
442	144	181
443	144	181
444	145	181
445	145	180
446	146	180
447	146	180
448	146	180
449	147	179
450	147	179
451	147	179
452	148	178
453	148	178
454	148	178
455	149	177
456	149	177
457	149	177
458	149	176
459	150	176
460	150	175
461	150	175
462	151	175
463	151	174
464	151	174
465	152	174
466	152	173
467	152	173
468	153	173
469	153	173
470	153	172
471	154	172
472	154	172
473	154	171
474	155	171
475	155	171
476	155	170
477	156	170
478	156	170
479	156	169
480	156	169
481	157	168
482	157	168
483	157	168
484	158	167
485	158	167
486	158	167
487	159	166
488	159	166
489	159	166
490	160	166
491	160	165
492	160	165
493	161	165
494	161	164
495	161	164
496	162	164
497	162	163
498	162	163
499	163	163
500	163	162
501	163	162
502	163	161
503	164	161
504	164	161
505	164	160
506	165	160
507	165	160
508	165	159
509	166	159
510	166	159
511	166	159
512	167	158
513	167	158
514	167	158
515	168	157
516	168	157
517	168	157
518	169	156
519	169	156
520	169	156
521	170	155
522	170	155
523	170	155
524	171	154
525	171	154
526	171	154
527	172	153
528	172	153
529	172	153
530	173	152
531	173	152
532	173	152
533	174	151
534	174	151
535	175	151
536	175	151
537	175	150
538	176	150
539	176	150
540	176	149
541	176	149
542	177	149
543	177	148
544	177	148
545	178	148
546	178	147
547	179	147
548	179	147
549	179	146
550	179	146
551	180	146
552	180	145
553	180	145
554	181	145
555	181	144
556	181	144
557	181	144
558	182	143
559	182	143
560	182	143
561	183	142
562	183	142
563	183	142
564	184	141
565	184	141
566	184	141
567	185	140
568	185	140
569	185	140
570	186	139
571	186	139
572	186	139
573	186	138
574	187	138
575	187	138
576	187	137
577	188	137
578	188	137
579	188	136
580	189	136
581	189	135
582	189	135
583	189	135
584	190	134
585	190	134
586	190	134
587	191	133
588	191	133
589	191	133
590	192	132
591	192	132
592	192	132
593	193	132
594	193	131
595	194	131
596	194	131
597	194	130
598	194	130
599	195	130
600	195	129
601	195	129
602	196	129
603	196	128
604	196	128
605	196	128
606	197	127
607	197	127
608	197	127
609	198	126
610	198	126
611	199	126
612	199	125
613	199	125
614	200	125
615	200	124
616	200	124
617	201	124
618	201	123
619	201	123
620	201	123
621	202	122
622	202	122
623	202	122
624	203	121
625	203	121
626	203	121
627	204	120
628	204	120
629	204	120
630	205	120
631	205	119
632	205	119
633	206	119
634	206	118
635	206	118
636	207	118
637	207	117
638	207	117
639	207	116
640	208	116
641	208	116
642	208	115
643	209	115
644	209	115
645	209	114
646	209	114
647	210	114
648	210	113
649	210	113
650	211	113
651	211	112
652	211	112
653	212	112
654	212	111
655	212	111
656	213	111
657	213	111
658	213	110
659	214	110
660	214	110
661	214	109
662	215	109
663	215	108
664	215	108
665	215	108
666	216	107
667	216	107
668	216	107
669	217	107
670	217	106
671	218	106
672	218	106
673	218	105
674	218	105
675	219	105
676	219	104
677	219	104
678	220	104
679	220	103
680	220	103
681	221	103
682	221	102
683	221	102
684	221	102
685	222	101
686	222	101
687	222	101
688	223	100
689	223	100
690	223	100
691	224	99
692	224	99
693	224	99
694	225	98
695	225	98
696	225	98
697	226	97
698	226	97
699	226	97
700	227	96
701	227	96
702	227	96
703	228	95
704	228	95
705	228	95
706	229	95
707	229	94
708	229	94
709	230	94
710	230	93
711	230	93
712	231	93
713	231	92
714	232	92
715	232	92
716	232	91
717	233	91
718	233	91
719	233	90
720	234	90
721	234	90
722	234	89
723	234	89
724	235	89
725	235	88
726	235	88
727	236	88
728	236	87
729	236	87
730	237	87
731	237	86
732	237	86
733	238	86
734	238	86
735	239	85
736	239	85
737	239	85
738	239	84
739	240	84
740	240	84
741	240	83
742	241	83
743	241	83
744	241	82
745	242	82
746	242	82
747	242	81
748	243	81
749	243	81
750	243	80
751	244	80
752	244	80
753	245	80
754	245	79
755	245	79
756	246	79
757	246	78
758	246	78
759	247	78
760	247	77
761	247	77
762	248	77
763	248	76
764	248	76
765	249	76
766	249	75
767	249	75
768	249	75
769	250	74
770	250	74
771	250	74
772	251	73
773	251	73
774	252	73
775	252	72
776	252	72
777	253	72
778	253	71
779	253	71
780	253	71
781	254	70
782	254	70
783	254	70
784	255	69
785	255	69
786	255	69
787	256	68
788	256	68
789	256	68
790	257	67
791	257	67
792	257	67
793	258	66
794	258	66
795	258	66
796	259	65
797	259	65
798	259	65
799	259	64
800	260	64
801	260	64
802	260	63
803	261	63
804	261	63
805	261	62
806	261	62
807	262	62
808	262	61
809	262	61
810	263	61
811	263	60
812	263	60
813	264	60
814	264	60
815	264	59
816	264	59
817	265	59
818	265	58
819	265	58
820	266	58
821	266	57
822	267	57
823	267	57
824	267	56
825	268	56
826	268	56
827	268	55
828	269	55
829	269	55
830	269	54
831	269	54
832	270	54
833	270	53
834	271	53
835	271	53
836	272	52
837	272	52
838	272	52
839	272	51
840	273	51
841	273	51
842	273	50
843	274	50
844	274	50
845	274	50
846	274	49
847	275	49
848	275	49
849	275	48
850	276	48
851	276	48
852	276	47
853	277	47
854	277	47
855	278	46
856	278	46
857	278	46
858	278	45
859	279	45
860	279	45
861	279	44
862	280	44
863	280	44
864	280	43
865	281	43
866	281	43
867	281	42
868	281	42
869	282	42
870	282	41
871	282	41
872	283	41
873	283	40
874	283	40
875	284	40
876	284	39
877	284	39
878	285	39
879	285	38
880	285	38
881	286	38
882	286	37
883	286	37
884	287	37
885	287	36
886	287	36
887	288	36
888	288	35
889	288	35
890	288	35
891	289	35
892	289	34
893	289	34
894	290	34
895	290	33
896	290	33
897	291	33
898	291	32
899	291	32
900	292	32
901	292	31
902	292	31
903	293	31
904	293	30
905	293	30
906	293	30
907	294	29
908	294	29
909	294	29
910	295	28
911	295	28
912	295	28
913	296	27
914	296	27
915	296	27
916	297	26
917	297	26
918	297	26
919	298	25
920	298	25
921	298	25
922	298	24
923	299	24
924	299	24
925	299	23
926	300	23
927	300	23
928	300	22
929	301	22
930	301	22
931	301	22
932	302	21
933	302	21
934	302	21
935	302	20
936	303	20
937	303	20
938	304	19
939	304	19
940	304	19
941	304	18
942	305	18
943	305	18
944	305	17
945	306	17
946	306	17
947	306	16
948	307	16
949	307	16
950	307	15
951	308	15
952	308	15
953	308	14
954	308	14
955	309	14
